Leader,Type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
Wattson,Electric,0.0,1.0,-0.5,0.0,0.5,0.5,0.5,1.0,-1.0,-0.5,1.0,0.0,0.5,1.0,0.5
Flannery,Fire,-0.5,0.5,0.5,0.0,0.0,1.0,0.5,-0.5,-0.5,0.5,0.0,0.5,-1.0,-0.5,0.5
Norman,Normal,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,-1.0,-1.0,-0.5
Winona,Flying,0.0,-0.5,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.5,1.0,-0.5,1.0,0.0,0.5,0.0
Tate,Psychic,0.5,-0.5,1.0,-1.0,1.0,0.0,0.5,-0.5,0.5,-0.5,-0.5,1.0,-1.0,-0.5,0.5
Liza,Psychic,-0.5,-1.0,-0.5,0.0,1.0,1.0,1.0,0.0,-1.0,-0.5,1.0,1.0,-0.5,0.0,1.0
Wallace,Water,0.0,0.0,-1.0,-1.0,0.0,0.5,-0.5,0.5,-0.5,0.5,0.5,-1.0,0.0,-0.5,-1.0
Juan,Water,0.5,0.0,-1.0,0.0,1.0,0.5,1.0,0.0,1.0,-0.5,0.0,1.0,1.0,-0.5,-0.5
Roark,Rock,0.5,0.0,-0.5,-1.0,-1.0,0.0,0.5,-1.0,-0.5,-0.5,0.0,0.0,-1.0,-1.0,-0.5
Gardenia,Grass,0.0,1.0,1.0,1.0,0.5,-1.0,-0.5,-0.5,1.0,0.5,0.0,-1.0,0.5,0.5,0.0
Maylene,Fighting,0.5,0.0,0.5,-1.0,0.5,0.5,0.0,1.0,0.5,-0.5,-0.5,0.0,-0.5,0.5,-1.0
Crasher Wake,Water,-1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,-0.5,1.0,1.0,0.0,0.5,1.0,1.0
Fantina,Ghost,0.5,0.5,-1.0,0.5,0.5,-1.0,0.0,1.0,1.0,-0.5,0.0,0.5,-1.0,-0.5,0.5
Byron,Steel,0.5,-1.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5,-0.5,-1.0,-0.5,0.0,1.0
Candice,Ice,-0.5,1.0,0.0,1.0,1.0,0.0,-0.5,0.0,-1.0,-0.5,0.5,-1.0,-1.0,0.5,1.0
Volkner,Electric,-0.5,0.0,-1.0,0.5,0.5,-0.5,0.5,-1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0
Cilan,Grass,0.0,0.0,0.0,0.5,-1.0,-1.0,0.0,0.0,-1.0,1.0,-0.5,0.5,-1.0,0.0,0.5
Chili,Fire,-1.0,-0.5,-1.0,1.0,1.0,1.0,-0.5,-0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.0
Cress,Water,-1.0,-1.0,-1.0,0.0,-0.5,1.0,1.0,-1.0,-1.0,0.5,-1.0,1.0,-0.5,1.0,1.0
Lenora,Normal,0.0,0.5,1.0,-1.0,0.5,0.5,0.0,-0.5,-1.0,0.5,0.5,0.0,0.0,0.0,0.5
Burgh,Bug,0.5,-0.5,-0.5,-0.5,1.0,-1.0,-1.0,-0.5,-1.0,1.0,-0.5,1.0,0.0,1.0,0.0
Elesa,Electric,0.5,0.0,-0.5,0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,0.5,-0.5,-0.5
Clay,Ground,0.5,1.0,1.0,-1.0,-0.5,1.0,-0.5,-1.0,0.0,-0.5,0.5,0.5,-1.0,-1.0,-0.5
Skyla,Flying,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.5,0.5,-1.0,1.0,0.5,0.5,0.0,0.0
Brycen,Ice,-0.5,1.0,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,1.0,-0.5
Drayden,Dragon,0.0,0.5,0.5,1.0,-0.5,-1.0,0.5,-1.0,1.0,1.0,-0.5,0.5,0.0,0.5,1.0
Iris,Dragon,-0.5,0.0,0.5,-0.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0
Cheren,Normal,-1.0,-0.5,0.0,-1.0,0.0,0.5,1.0,0.0,1.0,0.5,-1.0,0.5,1.0,-1.0,-1.0
Roxie,Poison,1.0,0.0,0.0,-0.5,0.0,-1.0,0.0,-1.0,-1.0,0.5,-0.5,-0.5,0.5,0.5,0.5
Burgh,Bug,0.0,0.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0,0.5,0.5,-1.0,-0.5,0.0,-0.5,0.0
Elesa,Electric,-0.5,0.0,0.0,1.0,-0.5,-1.0,1.0,0.0,0.5,-0.5,-0.5,-1.0,1.0,1.0,0.5
Clay,Ground,0.0,-1.0,1.0,-0.5,-0.5,0.0,0.5,-1.0,0.5,0.0,1.0,0.5,0.0,1.0,-0.5
Skyla,Flying,0.5,0.0,0.0,-1.0,0.5,-0.5,1.0,0.0,0.0,-1.0,-0.5,-1.0,1.0,-0.5,1.0
Drayden,Dragon,1.0,0.5,0.0,0.0,-0.5,0.0,-1.0,0.5,0.5,-0.5,-0.5,1.0,1.0,-1.0,1.0
Marlon,Water,0.0,1.0,0.0,-1.0,0.0,0.0,-0.5,0.5,1.0,0.0,1.0,0.0,-0.5,0.0,-0.5
Viola,Bug,0.0,0.0,0.5,0.5,1.0,-0.5,0.5,-1.0,1.0,0.5,-0.5,-0.5,1.0,-0.5,1.0
Grant,Rock,1.0,0.5,1.0,-0.5,-0.5,0.5,1.0,0.5,-0.5,-0.5,-0.5,0.0,0.5,-0.5,0.0
Korrina,Fighting,-1.0,-0.5,1.0,-1.0,1.0,0.5,-1.0,0.5,0.5,0.5,-1.0,0.0,0.5,-1.0,0.5
Ramos,Grass,-1.0,-1.0,0.5,-0.5,0.0,0.0,0.5,-0.5,-0.5,0.5,1.0,-0.5,0.0,-1.0,0.0
Clemont,Electric,-1.0,1.0,1.0,-0.5,0.0,1.0,-1.0,0.0,1.0,0.5,-0.5,0.0,-0.5,-1.0,0.5
Valerie,Fairy,-0.5,1.0,-0.5,0.0,0.5,1.0,0.5,0.5,0.5,-1.0,1.0,0.0,1.0,0.5,1.0
Olympia,Psychic,-1.0,0.0,1.0,-1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,-1.0,0.5,-1.0,0.5
Wulfric,Ice,0.0,0.5,-1.0,-0.5,-1.0,0.5,-0.5,1.0,1.0,0.5,0.0,-1.0,0.5,1.0,0.5
Milo,Grass,-0.5,-1.0,0.5,0.5,0.5,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.5
Nessa,Water,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,-1.0,0.5,1.0,0.5,0.5
Kabu,Fire,0.0,-1.0,1.0,-0.5,1.0,0.0,-0.5,-1.0,-1.0,1.0,-1.0,-0.5,0.0,0.5,0.0
Bea,Fighting,-0.5,0.5,0.5,-0.5,0.5,1.0,1.0,-1.0,1.0,0.0,1.0,0.5,-0.5,-0.5,1.0
Allister,Ghost,0.5,0.5,0.0,-0.5,-1.0,-0.5,0.0,-0.5,-0.5,-0.5,0.5,0.0,-1.0,-1.0,0.0
Opal,Fairy,0.0,0.0,-0.5,1.0,1.0,0.5,1.0,-0.5,1.0,-0.5,-0.5,1.0,0.5,1.0,0.5
Gordie,Rock,0.0,1.0,-1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,0.5,-0.5
Melony,Ice,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.5,0.5,1.0
Piers,Dark,1.0,-1.0,-0.5,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
Raihan,Dragon,0.0,0.0,0.5,1.0,-0.5,0.5,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.5,0.5,-0.5
Katy,Bug,-0.5,0.0,-0.5,0.0,-0.5,0.0,0.0,-0.5,1.0,1.0,-1.0,-0.5,-0.5,0.0,0.0
Brassius,Grass,-1.0,0.5,1.0,0.0,0.0,0.5,-0.5,1.0,0.5,-0.5,0.0,1.0,1.0,0.0,0.0
Iono,Electric,-1.0,-0.5,-0.5,-1.0,0.5,-1.0,1.0,0.0,0.0,1.0,-1.0,0.5,0.5,-1.0,-1.0
Kofu,Water,0.5,-1.0,-1.0,-0.5,0.5,0.5,-1.0,1.0,0.0,0.0,0.5,-0.5,-0.5,0.0,-0.5
Larry,Normal,0.5,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.5,1.0,0.0,-0.5,0.5,0.5,1.0,0.5
Ryme,Ghost,-0.5,-1.0,-1.0,-0.5,-0.5,0.0,1.0,0.0,-0.5,0.5,1.0,0.0,0.0,-0.5,0.0
Tulip,Psychic,0.0,1.0,0.5,-0.5,0.0,0.0,1.0,1.0,-0.5,-0.5,0.0,-0.5,-1.0,1.0,-0.5
Grusha,Ice,0.0,-0.5,0.0,0.0,-0.5,0.5,0.5,-0.5,1.0,-0.5,-0.5,0.5,1.0,1.0,-1.0
